model,nsims,tpb,mem,cupsodatime,pythontime,rtol,atol,mxsteps,t_end,n_steps,deterministic,vol,card
earm,10,16,2,8.704631,8.94438505173,1e-06,1e-06,100,20000,20000.0,1,0,gtx980-diablo
earm,100,16,2,9.313307,9.69440984726,1e-06,1e-06,100,20000,20000.0,1,0,gtx980-diablo
earm,1000,16,2,10.766862,12.5402882099,1e-06,1e-06,100,20000,20000.0,1,0,gtx980-diablo
earm,10000,16,2,62.014267,77.6037790775,1e-06,1e-06,100,20000,20000.0,1,0,gtx980-diablo
ras,10,16,2,7.659524,7.91597104073,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-diablo
ras,100,16,2,7.992455,8.56367707253,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-diablo
ras,1000,16,2,8.900021,12.8201818466,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-diablo
ras,10000,16,2,47.15855,84.508867979,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-diablo
ras,100000,16,2,442.234741,811.415355921,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-diablo
tyson,10,16,2,0.237935,0.458193063736,1e-06,1e-06,100,20000,100.0,1,0,gtx980-diablo
tyson,100,16,2,0.222194,0.529788017273,1e-06,1e-06,100,20000,100.0,1,0,gtx980-diablo
tyson,1000,16,2,0.222181,1.29273796082,1e-06,1e-06,100,20000,100.0,1,0,gtx980-diablo
tyson,10000,16,2,1.069372,9.97677183151,1e-06,1e-06,100,20000,100.0,1,0,gtx980-diablo
tyson,100000,16,2,9.862999,97.7134921551,1e-06,1e-06,100,20000,100.0,1,0,gtx980-diablo
