model,nsims,tpb,mem,cupsodatime,pythontime,rtol,atol,mxsteps,t_end,n_steps,deterministic,vol,card
earm,10,16,2,8.713023,16.1709468365,1e-06,1e-06,100,20000,20000.0,1,0,gtx980-diablo
earm,100,16,2,9.372068,9.84148001671,1e-06,1e-06,100,20000,20000.0,1,0,gtx980-diablo
earm,1000,16,2,10.775306,13.4471600056,1e-06,1e-06,100,20000,20000.0,1,0,gtx980-diablo
earm,10000,16,2,61.732056,86.1283171177,1e-06,1e-06,100,20000,20000.0,1,0,gtx980-diablo
ras,10,16,2,7.672453,7.94367480278,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-diablo
ras,100,16,2,7.999228,8.79119706154,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-diablo
ras,1000,16,2,8.908584,13.1417520046,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-diablo
ras,10000,16,2,47.106621,87.3874280453,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-diablo
ras,100000,16,2,445.087921,844.917020082,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-diablo
tyson,10,16,2,0.246435,56.3165121078,1e-06,1e-06,100,20000,100.0,1,0,gtx980-diablo
tyson,100,16,2,0.262831,0.625170946121,1e-06,1e-06,100,20000,100.0,1,0,gtx980-diablo
tyson,1000,16,2,0.233418,1.71520209312,1e-06,1e-06,100,20000,100.0,1,0,gtx980-diablo
tyson,10000,16,2,1.069424,11.3473470211,1e-06,1e-06,100,20000,100.0,1,0,gtx980-diablo
tyson,100000,16,2,9.938998,110.075358868,1e-06,1e-06,100,20000,100.0,1,0,gtx980-diablo
