model,nsims,tpb,mem,cupsodatime,pythontime,rtol,atol,mxsteps,t_end,n_steps,deterministic,vol,card
earm,10,16,2,8.92523097992,8.96448493004,1e-06,1e-06,100,20000,20000.0,1,0,gtx980-diablo
earm,100,16,2,9.57179307938,9.78950691223,1e-06,1e-06,100,20000,20000.0,1,0,gtx980-diablo
earm,1000,16,2,11.6797471046,13.3055100441,1e-06,1e-06,100,20000,20000.0,1,0,gtx980-diablo
earm,10000,16,2,69.0104122162,84.836660862,1e-06,1e-06,100,20000,20000.0,1,0,gtx980-diablo
ras,10,16,2,7.8821349144,7.93936800957,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-diablo
ras,100,16,2,8.37231302261,8.61011314392,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-diablo
ras,1000,16,2,11.121505022,13.1306869984,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-diablo
ras,10000,16,2,67.4144589901,87.1081209183,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-diablo
ras,100000,16,2,647.858006954,847.300060987,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-diablo
tyson,10,16,2,0.440462827682,0.484037876129,1e-06,1e-06,100,20000,100.0,1,0,gtx980-diablo
tyson,100,16,2,0.513078927994,0.619046926498,1e-06,1e-06,100,20000,100.0,1,0,gtx980-diablo
tyson,1000,16,2,0.753962993622,1.40919399261,1e-06,1e-06,100,20000,100.0,1,0,gtx980-diablo
tyson,10000,16,2,4.49730801582,10.6512010098,1e-06,1e-06,100,20000,100.0,1,0,gtx980-diablo
tyson,100000,16,2,41.7633500099,103.721164942,1e-06,1e-06,100,20000,100.0,1,0,gtx980-diablo
