model,nsims,tpb,mem,cupsodatime,pythontime,rtol,atol,mxsteps,t_end,n_steps,deterministic,vol,card
tyson,10,16,0,0.460764884949,0.479442119598,1e-06,1e-06,100,20000,100.0,1,0,gtx980-diablo
tyson,10,16,1,0.388233184814,0.434331893921,1e-06,1e-06,100,20000,100.0,1,0,gtx980-diablo
tyson,10,16,2,0.374332904816,0.420485019684,1e-06,1e-06,100,20000,100.0,1,0,gtx980-diablo
tyson,100,16,0,0.446623086929,0.5710709095,1e-06,1e-06,100,20000,100.0,1,0,gtx980-diablo
tyson,100,16,1,0.426827907562,0.524284124374,1e-06,1e-06,100,20000,100.0,1,0,gtx980-diablo
tyson,100,16,2,0.402921915054,0.500193119049,1e-06,1e-06,100,20000,100.0,1,0,gtx980-diablo
tyson,1000,16,0,0.752336978912,1.37259793282,1e-06,1e-06,100,20000,100.0,1,0,gtx980-diablo
tyson,1000,16,1,0.73349404335,1.35207796097,1e-06,1e-06,100,20000,100.0,1,0,gtx980-diablo
tyson,1000,16,2,0.728348970413,1.34960794449,1e-06,1e-06,100,20000,100.0,1,0,gtx980-diablo
tyson,10000,16,0,4.57752394676,10.3371250629,1e-06,1e-06,100,20000,100.0,1,0,gtx980-diablo
tyson,10000,16,1,4.53585910797,10.3482880592,1e-06,1e-06,100,20000,100.0,1,0,gtx980-diablo
tyson,10000,16,2,4.4298760891,10.2912979126,1e-06,1e-06,100,20000,100.0,1,0,gtx980-diablo
tyson,100000,16,0,43.2160468102,100.320142031,1e-06,1e-06,100,20000,100.0,1,0,gtx980-diablo
tyson,100000,16,1,43.377204895,100.648469925,1e-06,1e-06,100,20000,100.0,1,0,gtx980-diablo
tyson,100000,16,2,42.2459540367,99.9285511971,1e-06,1e-06,100,20000,100.0,1,0,gtx980-diablo
earm,10,16,0,13.0386250019,13.07457304,1e-06,1e-06,100,20000,20000.0,1,0,gtx980-diablo
earm,10,16,1,10.2818748951,10.3470239639,1e-06,1e-06,100,20000,20000.0,1,0,gtx980-diablo
earm,10,16,2,8.86311507225,8.92758703232,1e-06,1e-06,100,20000,20000.0,1,0,gtx980-diablo
earm,100,16,0,14.0514490604,14.2832858562,1e-06,1e-06,100,20000,20000.0,1,0,gtx980-diablo
earm,100,16,1,11.0351521969,11.2534089088,1e-06,1e-06,100,20000,20000.0,1,0,gtx980-diablo
earm,100,16,2,9.4752869606,9.69873690605,1e-06,1e-06,100,20000,20000.0,1,0,gtx980-diablo
earm,1000,16,0,16.4107580185,18.1270878315,1e-06,1e-06,100,20000,20000.0,1,0,gtx980-diablo
earm,1000,16,1,13.1975169182,14.8930561543,1e-06,1e-06,100,20000,20000.0,1,0,gtx980-diablo
earm,1000,16,2,11.6085209846,13.3382840157,1e-06,1e-06,100,20000,20000.0,1,0,gtx980-diablo
earm,10000,16,0,93.7945730686,110.436023951,1e-06,1e-06,100,20000,20000.0,1,0,gtx980-diablo
earm,10000,16,1,76.0561821461,92.8380129337,1e-06,1e-06,100,20000,20000.0,1,0,gtx980-diablo
earm,10000,16,2,70.0825550556,86.8212990761,1e-06,1e-06,100,20000,20000.0,1,0,gtx980-diablo
ras,10,16,0,10.9189200401,10.9713590145,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-diablo
ras,10,16,1,8.91144800186,8.96334004402,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-diablo
ras,10,16,2,7.82768893242,7.88196396828,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-diablo
ras,100,16,0,11.4939489365,11.7176790237,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-diablo
ras,100,16,1,9.46856784821,9.69314098358,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-diablo
ras,100,16,2,8.34252500534,8.57147979736,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-diablo
ras,1000,16,0,14.4706149101,16.3741889,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-diablo
ras,1000,16,1,12.3005280495,14.2139050961,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-diablo
ras,1000,16,2,11.1188988686,13.0234451294,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-diablo
ras,10000,16,0,84.0784578323,102.590801954,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-diablo
ras,10000,16,1,72.0763790607,90.8461110592,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-diablo
ras,10000,16,2,67.9057250023,86.6693520546,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-diablo
ras,100000,16,0,781.636183023,975.684798956,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-diablo
ras,100000,16,1,673.350665808,858.381463051,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-diablo
ras,100000,16,2,636.023746967,831.295207977,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-diablo
