model,nsims,tpb,mem,cupsodatime,pythontime,rtol,atol,mxsteps,t_end,n_steps,deterministic,vol,card
earm,10,16,2,8.440322,8.62729501724,1e-06,1e-06,100,20000,20000.0,1,0,gtx980-mule
earm,100,16,2,9.19269,9.51618409157,1e-06,1e-06,100,20000,20000.0,1,0,gtx980-mule
earm,1000,16,2,12.640646,14.4828150272,1e-06,1e-06,100,20000,20000.0,1,0,gtx980-mule
earm,10000,16,2,106.925186,123.924906969,1e-06,1e-06,100,20000,20000.0,1,0,gtx980-mule
ras,10,16,2,7.278414,7.45667695999,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-mule
ras,100,16,2,7.600688,8.04327106476,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-mule
ras,1000,16,2,9.772316,12.8893079758,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-mule
ras,10000,16,2,81.406723,111.163443089,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-mule
tyson,10,16,2,0.231724,0.397503852844,1e-06,1e-06,100,20000,100.0,1,0,gtx980-mule
tyson,100,16,2,0.217679,0.432669878006,1e-06,1e-06,100,20000,100.0,1,0,gtx980-mule
tyson,1000,16,2,0.232608,1.06083703041,1e-06,1e-06,100,20000,100.0,1,0,gtx980-mule
tyson,10000,16,2,1.833602,8.70792102814,1e-06,1e-06,100,20000,100.0,1,0,gtx980-mule
tyson,100000,16,2,16.306,83.750177145,1e-06,1e-06,100,20000,100.0,1,0,gtx980-mule
earm,10,16,2,8.712507,8.95798993111,1e-06,1e-06,100,20000,20000.0,1,0,gtx980-diablo
earm,100,16,2,9.310692,9.79903101921,1e-06,1e-06,100,20000,20000.0,1,0,gtx980-diablo
earm,1000,16,2,10.772363,13.3355221748,1e-06,1e-06,100,20000,20000.0,1,0,gtx980-diablo
earm,10000,16,2,61.991451,85.9584131241,1e-06,1e-06,100,20000,20000.0,1,0,gtx980-diablo
ras,10,16,2,7.667636,7.93482708931,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-diablo
ras,100,16,2,7.99998,8.61455082893,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-diablo
ras,1000,16,2,8.905457,13.0961289406,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-diablo
ras,10000,16,2,47.403561,86.9663300514,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-diablo
ras,100000,16,2,442.784973,838.836176157,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-diablo
tyson,10,16,2,0.246429,0.469247817993,1e-06,1e-06,100,20000,100.0,1,0,gtx980-diablo
tyson,100,16,2,0.242366,0.551311969757,1e-06,1e-06,100,20000,100.0,1,0,gtx980-diablo
tyson,1000,16,2,0.223656,1.37516999245,1e-06,1e-06,100,20000,100.0,1,0,gtx980-diablo
tyson,10000,16,2,1.070388,10.6484880447,1e-06,1e-06,100,20000,100.0,1,0,gtx980-diablo
tyson,100000,16,2,9.870742,104.217280149,1e-06,1e-06,100,20000,100.0,1,0,gtx980-diablo
