model,nsims,tpb,mem,cupsodatime,pythontime,rtol,atol,mxsteps,t_end,n_steps,deterministic,vol,card,
tyson,10,1,0,0.326238,0.628813028,0.000001,0.000001,20000,100,100,1,0,K20c,
tyson,10,2,0,0.336713,0.634713888,0.000001,0.000001,20000,100,100,1,0,K20c,
tyson,10,4,0,0.405831,0.702226877,0.000001,0.000001,20000,100,100,1,0,K20c,
tyson,10,8,0,0.492623,0.792442083,0.000001,0.000001,20000,100,100,1,0,K20c,
tyson,100,1,0,0.324323,0.7454319,0.000001,0.000001,20000,100,100,1,0,K20c,
tyson,100,2,0,0.334377,0.754555941,0.000001,0.000001,20000,100,100,1,0,K20c,
tyson,100,4,0,0.378581,0.818046093,0.000001,0.000001,20000,100,100,1,0,K20c,
tyson,100,8,0,0.482382,0.905586004,0.000001,0.000001,20000,100,100,1,0,K20c,
tyson,100,16,0,0.638305,1.055933952,0.000001,0.000001,20000,100,100,1,0,K20c,
tyson,100,32,0,0.940327,1.363522053,0.000001,0.000001,20000,100,100,1,0,K20c,
tyson,1000,1,0,2.198252,3.614373922,0.000001,0.000001,20000,100,100,1,0,K20c,
tyson,1000,2,0,1.296894,2.724624157,0.000001,0.000001,20000,100,100,1,0,K20c,
tyson,1000,4,0,0.769847,2.085515976,0.000001,0.000001,20000,100,100,1,0,K20c,
tyson,1000,8,0,0.522779,1.959217072,0.000001,0.000001,20000,100,100,1,0,K20c,
tyson,1000,16,0,0.722364,2.173318863,0.000001,0.000001,20000,100,100,1,0,K20c,
tyson,1000,32,0,1.117576,2.44562602,0.000001,0.000001,20000,100,100,1,0,K20c,
tyson,1000,64,0,1.11731,2.431000948,0.000001,0.000001,20000,100,100,1,0,K20c,
tyson,1000,128,0,1.022552,2.319493055,0.000001,0.000001,20000,100,100,1,0,K20c,
tyson,1000,256,0,1.383329,2.673270941,0.000001,0.000001,20000,100,100,1,0,K20c,
tyson,10000,1,0,20.424076,30.66421509,0.000001,0.000001,20000,100,100,1,0,K20c,
tyson,10000,2,0,10.700996,22.03362012,0.000001,0.000001,20000,100,100,1,0,K20c,
tyson,10000,4,0,6.488363,17.10250211,0.000001,0.000001,20000,100,100,1,0,K20c,
tyson,10000,8,0,4.55967,14.91137886,0.000001,0.000001,20000,100,100,1,0,K20c,
tyson,10000,16,0,3.847657,14.13575006,0.000001,0.000001,20000,100,100,1,0,K20c,
tyson,10000,32,0,5.555397,16.36841393,0.000001,0.000001,20000,100,100,1,0,K20c,
tyson,10000,64,0,3.821404,15.14427805,0.000001,0.000001,20000,100,100,1,0,K20c,
tyson,10000,128,0,3.785617,14.77487588,0.000001,0.000001,20000,100,100,1,0,K20c,
tyson,10000,256,0,3.80129,14.63476491,0.000001,0.000001,20000,100,100,1,0,K20c,
tyson,100000,1,0,203.028992,304.5342531,0.000001,0.000001,20000,100,100,1,0,K20c,
tyson,100000,2,0,105.8965,205.648819,0.000001,0.000001,20000,100,100,1,0,K20c,
tyson,100000,4,0,62.382999,167.010622,0.000001,0.000001,20000,100,100,1,0,K20c,
tyson,100000,8,0,41.716404,142.400708,0.000001,0.000001,20000,100,100,1,0,K20c,
tyson,100000,16,0,33.068798,133.817811,0.000001,0.000001,20000,100,100,1,0,K20c,
tyson,100000,32,0,48.010128,149.5300581,0.000001,0.000001,20000,100,100,1,0,K20c,
tyson,100000,64,0,38.224823,138.0726559,0.000001,0.000001,20000,100,100,1,0,K20c,
tyson,100000,128,0,37.958855,138.2818041,0.000001,0.000001,20000,100,100,1,0,K20c,
tyson,100000,256,0,37.322556,137.3181109,0.000001,0.000001,20000,100,100,1,0,K20c,
tyson,10,1,1,0.295072,0.607635975,0.000001,0.000001,20000,100,100,1,0,K20c,
tyson,10,2,1,0.305323,0.62965703,0.000001,0.000001,20000,100,100,1,0,K20c,
tyson,10,4,1,0.365984,0.702550173,0.000001,0.000001,20000,100,100,1,0,K20c,
tyson,10,8,1,0.449005,0.773535013,0.000001,0.000001,20000,100,100,1,0,K20c,
tyson,100,1,1,0.290667,0.71902895,0.000001,0.000001,20000,100,100,1,0,K20c,
tyson,100,2,1,0.301709,0.725416183,0.000001,0.000001,20000,100,100,1,0,K20c,
tyson,100,4,1,0.343236,0.770520926,0.000001,0.000001,20000,100,100,1,0,K20c,
tyson,100,8,1,0.441186,0.859283924,0.000001,0.000001,20000,100,100,1,0,K20c,
tyson,100,16,1,0.580093,0.967625141,0.000001,0.000001,20000,100,100,1,0,K20c,
tyson,100,32,1,0.855916,1.244786024,0.000001,0.000001,20000,100,100,1,0,K20c,
tyson,1000,1,1,1.975162,3.251302958,0.000001,0.000001,20000,100,100,1,0,K20c,
tyson,1000,2,1,1.164847,2.44799304,0.000001,0.000001,20000,100,100,1,0,K20c,
tyson,1000,4,1,0.695182,1.980930805,0.000001,0.000001,20000,100,100,1,0,K20c,
tyson,1000,8,1,0.470061,1.756042957,0.000001,0.000001,20000,100,100,1,0,K20c,
tyson,1000,16,1,0.657397,1.936208963,0.000001,0.000001,20000,100,100,1,0,K20c,
tyson,1000,32,1,1.027186,2.30817008,0.000001,0.000001,20000,100,100,1,0,K20c,
tyson,1000,64,1,1.027124,2.305535078,0.000001,0.000001,20000,100,100,1,0,K20c,
tyson,1000,128,1,0.926821,2.324399948,0.000001,0.000001,20000,100,100,1,0,K20c,
tyson,1000,256,1,1.284199,2.726811886,0.000001,0.000001,20000,100,100,1,0,K20c,
tyson,10000,1,1,18.35803,28.66402483,0.000001,0.000001,20000,100,100,1,0,K20c,
tyson,10000,2,1,9.608288,19.98337293,0.000001,0.000001,20000,100,100,1,0,K20c,
tyson,10000,4,1,5.849056,16.18940806,0.000001,0.000001,20000,100,100,1,0,K20c,
tyson,10000,8,1,4.102113,14.40561008,0.000001,0.000001,20000,100,100,1,0,K20c,
tyson,10000,16,1,3.525655,13.58631587,0.000001,0.000001,20000,100,100,1,0,K20c,
tyson,10000,32,1,5.147605,15.53040504,0.000001,0.000001,20000,100,100,1,0,K20c,
tyson,10000,64,1,3.451331,13.74691415,0.000001,0.000001,20000,100,100,1,0,K20c,
tyson,10000,128,1,3.420218,13.67912698,0.000001,0.000001,20000,100,100,1,0,K20c,
tyson,10000,256,1,3.434699,13.87173605,0.000001,0.000001,20000,100,100,1,0,K20c,
tyson,100000,1,1,182.638306,288.2813301,0.000001,0.000001,20000,100,100,1,0,K20c,
tyson,100000,2,1,95.278229,198.4097149,0.000001,0.000001,20000,100,100,1,0,K20c,
tyson,100000,4,1,56.368023,158.0802991,0.000001,0.000001,20000,100,100,1,0,K20c,
tyson,100000,8,1,37.544949,139.107563,0.000001,0.000001,20000,100,100,1,0,K20c,
tyson,100000,16,1,30.278461,135.7460408,0.000001,0.000001,20000,100,100,1,0,K20c,
tyson,100000,32,1,42.009758,141.577455,0.000001,0.000001,20000,100,100,1,0,K20c,
tyson,100000,64,1,34.605869,139.987103,0.000001,0.000001,20000,100,100,1,0,K20c,
