model,nsims,tpb,mem,pythontime,cupsodatime,rtol,atol,mxsteps,t_end,n_steps,deterministic,vol,card
tyson,10,1,0,0.538552999496,0.261629,1e-06,1e-06,100,20000,100.0,1,0,gtx980-ti-diablo
tyson,10,2,0,0.47388792038,0.230744,1e-06,1e-06,100,20000,100.0,1,0,gtx980-ti-diablo
tyson,10,4,0,0.478806018829,0.234851,1e-06,1e-06,100,20000,100.0,1,0,gtx980-ti-diablo
tyson,10,8,0,0.477308034897,0.242484,1e-06,1e-06,100,20000,100.0,1,0,gtx980-ti-diablo
tyson,10,1,1,0.454132080078,0.209594,1e-06,1e-06,100,20000,100.0,1,0,gtx980-ti-diablo
tyson,10,2,1,0.455793142319,0.21156,1e-06,1e-06,100,20000,100.0,1,0,gtx980-ti-diablo
tyson,10,4,1,0.46101808548,0.215865,1e-06,1e-06,100,20000,100.0,1,0,gtx980-ti-diablo
tyson,10,8,1,0.463991880417,0.222852,1e-06,1e-06,100,20000,100.0,1,0,gtx980-ti-diablo
tyson,10,1,2,0.442453145981,0.197054,1e-06,1e-06,100,20000,100.0,1,0,gtx980-ti-diablo
tyson,10,2,2,0.443770885468,0.198819,1e-06,1e-06,100,20000,100.0,1,0,gtx980-ti-diablo
tyson,10,4,2,0.449087142944,0.202794,1e-06,1e-06,100,20000,100.0,1,0,gtx980-ti-diablo
tyson,10,8,2,0.458556175232,0.20934,1e-06,1e-06,100,20000,100.0,1,0,gtx980-ti-diablo
tyson,100,1,0,0.599515199661,0.229596,1e-06,1e-06,100,20000,100.0,1,0,gtx980-ti-diablo
tyson,100,2,0,0.595371007919,0.228006,1e-06,1e-06,100,20000,100.0,1,0,gtx980-ti-diablo
tyson,100,4,0,0.594866991043,0.232233,1e-06,1e-06,100,20000,100.0,1,0,gtx980-ti-diablo
tyson,100,8,0,0.609167814255,0.241189,1e-06,1e-06,100,20000,100.0,1,0,gtx980-ti-diablo
tyson,100,16,0,0.618967056274,0.257015,1e-06,1e-06,100,20000,100.0,1,0,gtx980-ti-diablo
tyson,100,32,0,0.653347969055,0.2837,1e-06,1e-06,100,20000,100.0,1,0,gtx980-ti-diablo
tyson,100,64,0,0.659179925919,0.293239,1e-06,1e-06,100,20000,100.0,1,0,gtx980-ti-diablo
tyson,100,1,1,0.579201936722,0.211149,1e-06,1e-06,100,20000,100.0,1,0,gtx980-ti-diablo
tyson,100,2,1,0.574936151505,0.209627,1e-06,1e-06,100,20000,100.0,1,0,gtx980-ti-diablo
tyson,100,4,1,0.582847833633,0.213291,1e-06,1e-06,100,20000,100.0,1,0,gtx980-ti-diablo
tyson,100,8,1,0.581390142441,0.22175,1e-06,1e-06,100,20000,100.0,1,0,gtx980-ti-diablo
tyson,100,16,1,0.606954097748,0.235848,1e-06,1e-06,100,20000,100.0,1,0,gtx980-ti-diablo
tyson,100,32,1,0.627456903458,0.261304,1e-06,1e-06,100,20000,100.0,1,0,gtx980-ti-diablo
tyson,100,64,1,0.638868093491,0.269057,1e-06,1e-06,100,20000,100.0,1,0,gtx980-ti-diablo
