model,nsims,scipytime,rtol,atol,mxsteps,t_end,n_steps,cpu,GHz,num_cpu
tyson,2,0.0157721042633,1e-06,1e-06,20000,100.0,100,Intel-Xeon-E5-2687W-v2,3.40,1
tyson,4,0.0274579524994,1e-06,1e-06,20000,100.0,100,Intel-Xeon-E5-2687W-v2,3.40,1
tyson,8,0.0559031963348,1e-06,1e-06,20000,100.0,100,Intel-Xeon-E5-2687W-v2,3.40,1
tyson,16,0.114657878876,1e-06,1e-06,20000,100.0,100,Intel-Xeon-E5-2687W-v2,3.40,1
tyson,32,0.224386930466,1e-06,1e-06,20000,100.0,100,Intel-Xeon-E5-2687W-v2,3.40,1
tyson,64,0.466335058212,1e-06,1e-06,20000,100.0,100,Intel-Xeon-E5-2687W-v2,3.40,1
tyson,128,0.93051815033,1e-06,1e-06,20000,100.0,100,Intel-Xeon-E5-2687W-v2,3.40,1
tyson,256,1.75461006165,1e-06,1e-06,20000,100.0,100,Intel-Xeon-E5-2687W-v2,3.40,1
tyson,512,3.54850888252,1e-06,1e-06,20000,100.0,100,Intel-Xeon-E5-2687W-v2,3.40,1
tyson,1024,6.92145705223,1e-06,1e-06,20000,100.0,100,Intel-Xeon-E5-2687W-v2,3.40,1
tyson,2048,14.4819090366,1e-06,1e-06,20000,100.0,100,Intel-Xeon-E5-2687W-v2,3.40,1
tyson,4096,28.800590992,1e-06,1e-06,20000,100.0,100,Intel-Xeon-E5-2687W-v2,3.40,1
tyson,8192,55.2829289436,1e-06,1e-06,20000,100.0,100,Intel-Xeon-E5-2687W-v2,3.40,1
tyson,16384,118.582588911,1e-06,1e-06,20000,100.0,100,Intel-Xeon-E5-2687W-v2,3.40,1
tyson,32768,234.108180046,1e-06,1e-06,20000,100.0,100,Intel-Xeon-E5-2687W-v2,3.40,1
tyson,65536,474.075211048,1e-06,1e-06,20000,100.0,100,Intel-Xeon-E5-2687W-v2,3.40,1
tyson,131072,996.130182028,1e-06,1e-06,20000,100.0,100,Intel-Xeon-E5-2687W-v2,3.40,1

ras,2,0.164193153381,1e-06,1e-06,20000,1500.0,100,Intel-Xeon-E5-2687W-v2,3.40,1
ras,4,0.319164991379,1e-06,1e-06,20000,1500.0,100,Intel-Xeon-E5-2687W-v2,3.40,1
ras,8,0.639216899872,1e-06,1e-06,20000,1500.0,100,Intel-Xeon-E5-2687W-v2,3.40,1
ras,16,1.30911707878,1e-06,1e-06,20000,1500.0,100,Intel-Xeon-E5-2687W-v2,3.40,1
ras,32,2.61494994164,1e-06,1e-06,20000,1500.0,100,Intel-Xeon-E5-2687W-v2,3.40,1
ras,64,5.26160907745,1e-06,1e-06,20000,1500.0,100,Intel-Xeon-E5-2687W-v2,3.40,1
ras,128,10.6070799828,1e-06,1e-06,20000,1500.0,100,Intel-Xeon-E5-2687W-v2,3.40,1
ras,256,20.6670670509,1e-06,1e-06,20000,1500.0,100,Intel-Xeon-E5-2687W-v2,3.40,1
ras,512,42.5307781696,1e-06,1e-06,20000,1500.0,100,Intel-Xeon-E5-2687W-v2,3.40,1
ras,1024,83.1404190063,1e-06,1e-06,20000,1500.0,100,Intel-Xeon-E5-2687W-v2,3.40,1
ras,2048,171.042436123,1e-06,1e-06,20000,1500.0,100,Intel-Xeon-E5-2687W-v2,3.40,1
ras,4096,340.128774166,1e-06,1e-06,20000,1500.0,100,Intel-Xeon-E5-2687W-v2,3.40,1
ras,8192,680.139713049,1e-06,1e-06,20000,1500.0,100,Intel-Xeon-E5-2687W-v2,3.40,1
ras,16384,1346.82851911,1e-06,1e-06,20000,1500.0,100,Intel-Xeon-E5-2687W-v2,3.40,1
ras,32768,2711.78167009,1e-06,1e-06,20000,1500.0,100,Intel-Xeon-E5-2687W-v2,3.40,1
ras,65536,5418.41387105,1e-06,1e-06,20000,1500.0,100,Intel-Xeon-E5-2687W-v2,3.40,1
ras,131072,10865.50261,1e-06,1e-06,20000,1500.0,100,Intel-Xeon-E5-2687W-v2,3.40,1

earm,2,0.171475887299,1e-06,1e-06,20000,20000.0,100,Intel-Xeon-E5-2687W-v2,3.40,1
earm,4,0.329035997391,1e-06,1e-06,20000,20000.0,100,Intel-Xeon-E5-2687W-v2,3.40,1
earm,8,0.67399096489,1e-06,1e-06,20000,20000.0,100,Intel-Xeon-E5-2687W-v2,3.40,1
earm,16,1.36106586456,1e-06,1e-06,20000,20000.0,100,Intel-Xeon-E5-2687W-v2,3.40,1
