model,nsims,tpb,mem,cupsodatime,pythontime,rtol,atol,mxsteps,t_end,n_steps,deterministic,vol,card
earm,10,16,2,16.5273900032,16.5605888367,1e-06,1e-06,100,20000,20000.0,1,0,gtx760-lolab
earm,100,16,2,23.5828678608,23.7834877968,1e-06,1e-06,100,20000,20000.0,1,0,gtx760-lolab
earm,1000,16,2,72.5692470074,74.5101599693,1e-06,1e-06,100,20000,20000.0,1,0,gtx760-lolab
ras,10,16,2,13.5854918957,13.6144981384,1e-06,1e-06,100,20000,1500.0,1,0,gtx760-lolab
ras,100,16,2,19.5908489227,19.8008360863,1e-06,1e-06,100,20000,1500.0,1,0,gtx760-lolab
ras,1000,16,2,42.6105890274,44.5748438835,1e-06,1e-06,100,20000,1500.0,1,0,gtx760-lolab
tyson,10,16,2,0.471501111984,0.484872817993,1e-06,1e-06,100,20000,100.0,1,0,gtx760-lolab
tyson,100,16,2,0.616738080978,0.694499969482,1e-06,1e-06,100,20000,100.0,1,0,gtx760-lolab
tyson,1000,16,2,0.988405942917,1.710064888,1e-06,1e-06,100,20000,100.0,1,0,gtx760-lolab
tyson,10000,16,2,8.67373418808,16.0100500584,1e-06,1e-06,100,20000,100.0,1,0,gtx760-lolab
