model,nsims,tpb,mem,pythontime,cupsodatime,rtol,atol,mxsteps,t_end,n_steps,deterministic,vol,card
tyson,10,1,0,0.401063919067,0.245326,1e-06,1e-06,100,20000,100.0,1,0,gtx980-mule
tyson,10,2,0,0.37618303299,0.22198,1e-06,1e-06,100,20000,100.0,1,0,gtx980-mule
tyson,10,4,0,0.372913837433,0.218768,1e-06,1e-06,100,20000,100.0,1,0,gtx980-mule
tyson,10,8,0,0.380930900574,0.226928,1e-06,1e-06,100,20000,100.0,1,0,gtx980-mule
tyson,10,1,1,0.346716880798,0.192533,1e-06,1e-06,100,20000,100.0,1,0,gtx980-mule
tyson,10,2,1,0.349097013474,0.194696,1e-06,1e-06,100,20000,100.0,1,0,gtx980-mule
tyson,10,4,1,0.354604959488,0.19999,1e-06,1e-06,100,20000,100.0,1,0,gtx980-mule
tyson,10,8,1,0.361342906952,0.207232,1e-06,1e-06,100,20000,100.0,1,0,gtx980-mule
tyson,10,1,2,0.238806962967,0.084553,1e-06,1e-06,100,20000,100.0,1,0,gtx980-mule
tyson,10,2,2,0.239572048187,0.084894,1e-06,1e-06,100,20000,100.0,1,0,gtx980-mule
tyson,10,4,2,0.240984916687,0.086954,1e-06,1e-06,100,20000,100.0,1,0,gtx980-mule
tyson,10,8,2,0.243757963181,0.089783,1e-06,1e-06,100,20000,100.0,1,0,gtx980-mule
tyson,100,1,0,0.450221061707,0.217281,1e-06,1e-06,100,20000,100.0,1,0,gtx980-mule
tyson,100,2,0,0.444281101227,0.211345,1e-06,1e-06,100,20000,100.0,1,0,gtx980-mule
tyson,100,4,0,0.448456048965,0.214959,1e-06,1e-06,100,20000,100.0,1,0,gtx980-mule
tyson,100,8,0,0.455672025681,0.222356,1e-06,1e-06,100,20000,100.0,1,0,gtx980-mule
tyson,100,16,0,0.471414089203,0.238805,1e-06,1e-06,100,20000,100.0,1,0,gtx980-mule
tyson,100,32,0,0.500493049622,0.267577,1e-06,1e-06,100,20000,100.0,1,0,gtx980-mule
tyson,100,64,0,0.509445905685,0.277363,1e-06,1e-06,100,20000,100.0,1,0,gtx980-mule
tyson,100,1,1,0.43247795105,0.199769,1e-06,1e-06,100,20000,100.0,1,0,gtx980-mule
tyson,100,2,1,0.426129817963,0.19344,1e-06,1e-06,100,20000,100.0,1,0,gtx980-mule
tyson,100,4,1,0.431919813156,0.19719,1e-06,1e-06,100,20000,100.0,1,0,gtx980-mule
tyson,100,8,1,0.435922145844,0.203346,1e-06,1e-06,100,20000,100.0,1,0,gtx980-mule
tyson,100,16,1,0.451170921326,0.217716,1e-06,1e-06,100,20000,100.0,1,0,gtx980-mule
tyson,100,32,1,0.476871013641,0.243577,1e-06,1e-06,100,20000,100.0,1,0,gtx980-mule
tyson,100,64,1,0.484788179398,0.251959,1e-06,1e-06,100,20000,100.0,1,0,gtx980-mule
tyson,100,1,2,0.32329583168,0.089336,1e-06,1e-06,100,20000,100.0,1,0,gtx980-mule
tyson,100,2,2,0.319042921066,0.085329,1e-06,1e-06,100,20000,100.0,1,0,gtx980-mule
tyson,100,4,2,0.320156812668,0.086654,1e-06,1e-06,100,20000,100.0,1,0,gtx980-mule
tyson,100,8,2,0.322727918625,0.088407,1e-06,1e-06,100,20000,100.0,1,0,gtx980-mule
tyson,100,16,2,0.328078985214,0.094051,1e-06,1e-06,100,20000,100.0,1,0,gtx980-mule
tyson,100,32,2,0.338965892792,0.105144,1e-06,1e-06,100,20000,100.0,1,0,gtx980-mule
tyson,100,64,2,0.342414855957,0.108947,1e-06,1e-06,100,20000,100.0,1,0,gtx980-mule
tyson,1000,1,0,3.22271990776,2.2002,1e-06,1e-06,100,20000,100.0,1,0,gtx980-mule
tyson,1000,2,0,2.13467311859,1.092142,1e-06,1e-06,100,20000,100.0,1,0,gtx980-mule
tyson,1000,4,0,1.67409110069,0.662454,1e-06,1e-06,100,20000,100.0,1,0,gtx980-mule
tyson,1000,8,0,1.48157191277,0.466502,1e-06,1e-06,100,20000,100.0,1,0,gtx980-mule
tyson,1000,16,0,1.28280687332,0.269549,1e-06,1e-06,100,20000,100.0,1,0,gtx980-mule
tyson,1000,32,0,1.31480789185,0.298782,1e-06,1e-06,100,20000,100.0,1,0,gtx980-mule
tyson,1000,64,0,1.34969091415,0.315799,1e-06,1e-06,100,20000,100.0,1,0,gtx980-mule
tyson,1000,1,1,3.00408601761,1.987915,1e-06,1e-06,100,20000,100.0,1,0,gtx980-mule
tyson,1000,2,1,2.02271795273,1.005646,1e-06,1e-06,100,20000,100.0,1,0,gtx980-mule
tyson,1000,4,1,1.62883281708,0.611015,1e-06,1e-06,100,20000,100.0,1,0,gtx980-mule
tyson,1000,8,1,1.44544482231,0.43067,1e-06,1e-06,100,20000,100.0,1,0,gtx980-mule
tyson,1000,16,1,1.25465488434,0.245392,1e-06,1e-06,100,20000,100.0,1,0,gtx980-mule
tyson,1000,32,1,1.28945589066,0.271958,1e-06,1e-06,100,20000,100.0,1,0,gtx980-mule
tyson,1000,64,1,1.29953312874,0.286493,1e-06,1e-06,100,20000,100.0,1,0,gtx980-mule
tyson,1000,1,2,1.89355301857,0.874824,1e-06,1e-06,100,20000,100.0,1,0,gtx980-mule
tyson,1000,2,2,1.46373605728,0.442234,1e-06,1e-06,100,20000,100.0,1,0,gtx980-mule
tyson,1000,4,2,1.28843092918,0.267274,1e-06,1e-06,100,20000,100.0,1,0,gtx980-mule
tyson,1000,8,2,1.20856308937,0.186964,1e-06,1e-06,100,20000,100.0,1,0,gtx980-mule
tyson,1000,16,2,1.12512207031,0.105605,1e-06,1e-06,100,20000,100.0,1,0,gtx980-mule
tyson,1000,32,2,1.14118409157,0.118556,1e-06,1e-06,100,20000,100.0,1,0,gtx980-mule
tyson,1000,64,2,1.147824049,0.124662,1e-06,1e-06,100,20000,100.0,1,0,gtx980-mule
model,nsims,tpb,mem,pythontime,cupsodatime,rtol,atol,mxsteps,t_end,n_steps,deterministic,vol,card
ras,10,1,0,9.71522903442,9.498469,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-mule
ras,10,2,0,9.75215697289,9.53653,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-mule
ras,10,4,0,9.98554301262,9.769959,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-mule
ras,10,8,0,10.3205959797,10.10529,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-mule
ras,10,1,1,8.10263586044,7.886835,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-mule
ras,10,2,1,8.1259021759,7.909593,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-mule
ras,10,4,1,8.2798230648,8.063665,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-mule
ras,10,8,1,8.49661016464,8.281061,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-mule
ras,10,1,2,1.62635993958,1.408776,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-mule
ras,10,2,2,1.63760995865,1.420493,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-mule
ras,10,4,2,1.67604899406,1.458875,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-mule
ras,10,8,2,1.74948096275,1.531988,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-mule
ras,100,1,0,10.509196043,9.679584,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-mule
ras,100,2,0,10.4308800697,9.599798,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-mule
ras,100,4,0,10.5539960861,9.724473,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-mule
ras,100,8,0,10.8722848892,10.042718,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-mule
ras,100,16,0,11.5337710381,10.70368,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-mule
ras,100,32,0,12.823745966,11.996842,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-mule
ras,100,64,0,13.3011779785,12.471259,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-mule
ras,100,1,1,8.96820092201,8.140623,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-mule
ras,100,2,1,8.81332612038,7.983088,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-mule
