model,nsims,tpb,mem,pythontime,cupsodatime,rtol,atol,mxsteps,t_end,n_steps,deterministic,vol,card
tyson,10,4,0,0.866021156311,0.41318,1e-06,1e-06,100,20000,100.0,1,0,K20c
tyson,10,8,0,0.968393802643,0.502044,1e-06,1e-06,100,20000,100.0,1,0,K20c
tyson,10,4,1,0.818670988083,0.370097,1e-06,1e-06,100,20000,100.0,1,0,K20c
tyson,10,8,1,0.903091907501,0.456417,1e-06,1e-06,100,20000,100.0,1,0,K20c
tyson,10,4,2,0.789028167725,0.345084,1e-06,1e-06,100,20000,100.0,1,0,K20c
tyson,10,8,2,0.880938053131,0.440024,1e-06,1e-06,100,20000,100.0,1,0,K20c
tyson,100,4,0,0.960923194885,0.381774,1e-06,1e-06,100,20000,100.0,1,0,K20c
tyson,100,8,0,1.09013319016,0.495489,1e-06,1e-06,100,20000,100.0,1,0,K20c
tyson,100,16,0,1.24036812782,0.657515,1e-06,1e-06,100,20000,100.0,1,0,K20c
tyson,100,32,0,1.56107807159,0.967525,1e-06,1e-06,100,20000,100.0,1,0,K20c
tyson,100,64,0,1.56489515305,0.963522,1e-06,1e-06,100,20000,100.0,1,0,K20c
tyson,100,4,1,0.934725999832,0.343473,1e-06,1e-06,100,20000,100.0,1,0,K20c
tyson,100,8,1,1.04417085648,0.449129,1e-06,1e-06,100,20000,100.0,1,0,K20c
tyson,100,16,1,1.17692708969,0.594132,1e-06,1e-06,100,20000,100.0,1,0,K20c
tyson,100,32,1,1.44463896751,0.875452,1e-06,1e-06,100,20000,100.0,1,0,K20c
tyson,100,64,1,1.45151114464,0.871941,1e-06,1e-06,100,20000,100.0,1,0,K20c
tyson,100,4,2,0.901587963104,0.323092,1e-06,1e-06,100,20000,100.0,1,0,K20c
tyson,100,8,2,1.00804281235,0.422423,1e-06,1e-06,100,20000,100.0,1,0,K20c
tyson,100,16,2,1.15443205833,0.57356,1e-06,1e-06,100,20000,100.0,1,0,K20c
