model,nSims,tpb,mem,endTimeOfSim,rtol,atol,pysbTime,cupSODATime
earm,100,1,0,20000.0,1e-06,1e-06,19.4062230587,18.913429
earm,100,2,0,20000.0,1e-06,1e-06,19.6819159985,19.203074
earm,100,4,0,20000.0,1e-06,1e-06,22.4114949703,21.927456
earm,100,8,0,20000.0,1e-06,1e-06,28.1583328247,27.67312
earm,100,16,0,20000.0,1e-06,1e-06,37.0524590015,36.580853
earm,100,32,0,20000.0,1e-06,1e-06,53.3535327911,52.876022
earm,100,1,1,20000.0,1e-06,1e-06,15.8284511566,15.350504
earm,100,2,1,20000.0,1e-06,1e-06,16.0939750671,15.620853
earm,100,4,1,20000.0,1e-06,1e-06,17.698073864,17.211809
earm,100,8,1,20000.0,1e-06,1e-06,21.3266718388,20.861439
earm,100,16,1,20000.0,1e-06,1e-06,28.4392230511,27.958588
earm,100,32,1,20000.0,1e-06,1e-06,39.2138988972,38.743919
earm,100,1,2,20000.0,1e-06,1e-06,12.6345870495,12.134835
earm,100,2,2,20000.0,1e-06,1e-06,13.1047110558,12.622325
earm,100,4,2,20000.0,1e-06,1e-06,14.8888640404,14.404608
earm,100,8,2,20000.0,1e-06,1e-06,18.6987800598,18.213303
earm,100,16,2,20000.0,1e-06,1e-06,25.414247036,24.920286
earm,100,32,2,20000.0,1e-06,1e-06,36.4119050503,35.929478
earm,1000,1,0,20000.0,1e-06,1e-06,130.239876986,128.268723
earm,1000,2,0,20000.0,1e-06,1e-06,77.3302500248,75.395836
earm,1000,4,0,20000.0,1e-06,1e-06,47.6708011627,45.755348
earm,1000,8,0,20000.0,1e-06,1e-06,32.4587831497,30.544704
earm,1000,16,0,20000.0,1e-06,1e-06,43.6746211052,41.715549
earm,1000,32,0,20000.0,1e-06,1e-06,65.6910870075,63.754936
earm,1000,1,1,20000.0,1e-06,1e-06,106.658880949,104.710197
earm,1000,2,1,20000.0,1e-06,1e-06,63.236164093,61.28767
earm,1000,4,1,20000.0,1e-06,1e-06,37.504858017,35.562069
earm,1000,8,1,20000.0,1e-06,1e-06,42.3278028965,40.336349
earm,1000,16,1,20000.0,1e-06,1e-06,58.0757889748,56.108952
earm,1000,32,1,20000.0,1e-06,1e-06,79.5253610611,77.556404
earm,1000,1,2,20000.0,1e-06,1e-06,85.5146319866,83.560402
earm,1000,2,2,20000.0,1e-06,1e-06,52.0177299976,49.997089
earm,1000,4,2,20000.0,1e-06,1e-06,32.0111219883,30.057087
earm,1000,8,2,20000.0,1e-06,1e-06,37.2973511219,35.348904
earm,1000,16,2,20000.0,1e-06,1e-06,52.2651100159,50.319733
earm,1000,32,2,20000.0,1e-06,1e-06,74.3297998905,72.356331
earm,10000,1,0,20000.0,1e-06,1e-06,1208.82294106,1189.450317
earm,10000,2,0,20000.0,1e-06,1e-06,640.384521008,623.558655
earm,10000,4,0,20000.0,1e-06,1e-06,402.139871836,385.337463
earm,10000,8,0,20000.0,1e-06,1e-06,289.66644001,270.469574
earm,10000,16,0,20000.0,1e-06,1e-06,260.2725842,243.606232
earm,10000,32,0,20000.0,1e-06,1e-06,336.557156086,319.947479
earm,10000,1,1,20000.0,1e-06,1e-06,987.281677008,970.161438
earm,10000,2,1,20000.0,1e-06,1e-06,523.620970964,506.714752
earm,10000,4,1,20000.0,1e-06,1e-06,316.515290976,299.785065
