model,nsims,scipytime,rtol,atol,mxsteps,t_end,n_steps,cpu,GHz,num_cpu
tyson,10,0.0713930130005,1e-06,1e-06,20000,100.0,100,diablo,3.40,1
tyson,100,0.703783988953,1e-06,1e-06,20000,100.0,100,diablo,3.40,1
tyson,1000,6.60820484161,1e-06,1e-06,20000,100.0,100,diablo,3.40,1
tyson,10000,65.6400220394,1e-06,1e-06,20000,100.0,100,diablo,3.40,1
tyson,100000,671.777458191,1e-06,1e-06,20000,100.0,100,diablo,3.40,1
ras,10,0.806133031845,1e-06,1e-06,20000,1500.0,100,diablo,3.40,1
ras,100,7.95855593681,1e-06,1e-06,20000,1500.0,100,diablo,3.40,1
ras,1000,78.7062089443,1e-06,1e-06,20000,1500.0,100,diablo,3.40,1
ras,10000,786.095093966,1e-06,1e-06,20000,1500.0,100,diablo,3.40,1
ras,100000,7804.02878094,1e-06,1e-06,20000,1500.0,100,diablo,3.40,1
earm,10,0.828658103943,1e-06,1e-06,20000,20000.0,100,diablo,3.40,1
earm,100,9.06026387215,1e-06,1e-06,20000,20000.0,100,diablo,3.40,1
earm,1000,81.1535720825,1e-06,1e-06,20000,20000.0,100,diablo,3.40,1
earm,10000,811.155158043,1e-06,1e-06,20000,20000.0,100,diablo,3.40,1
earm,10,1.58438706398,1e-06,1e-06,20000,20000.0,100,lolab-760,3.40,1
earm,100,6.74778795242,1e-06,1e-06,20000,20000.0,100,lolab-760,3.40,1
earm,1000,66.4624130726,1e-06,1e-06,20000,20000.0,100,lolab-760,3.40,1
earm,10000,660.01036191,1e-06,1e-06,20000,20000.0,100,lolab-760,3.40,1
ras,10,1.58200597763,1e-06,1e-06,20000,1500.0,100,lolab-760,3.40,1
ras,100,8.18331003189,1e-06,1e-06,20000,1500.0,100,lolab-760,3.40,1
ras,1000,85.0299758911,1e-06,1e-06,20000,1500.0,100,lolab-760,3.40,1
ras,10000,831.380048037,1e-06,1e-06,20000,1500.0,100,lolab-760,3.40,1
ras,100000,8166.82184196,1e-06,1e-06,20000,1500.0,100,lolab-760,3.40,1
tyson,10,0.0761549472809,1e-06,1e-06,20000,100.0,100,lolab-760,3.40,1
tyson,100,0.776242017746,1e-06,1e-06,20000,100.0,100,lolab-760,3.40,1
tyson,1000,7.48223590851,1e-06,1e-06,20000,100.0,100,lolab-760,3.40,1
tyson,10000,80.2309510708,1e-06,1e-06,20000,100.0,100,lolab-760,3.40,1
tyson,100000,780.712666988,1e-06,1e-06,20000,100.0,100,lolab-760,3.40,1
tyson,10,0.0547680854797,1e-06,1e-06,20000,100.0,100,gtx-970-mule,3.40,1
tyson,100,0.476256847382,1e-06,1e-06,20000,100.0,100,gtx-970-mule,3.40,1
tyson,1000,4.8176510334,1e-06,1e-06,20000,100.0,100,gtx-970-mule,3.40,1
tyson,10000,48.4605259895,1e-06,1e-06,20000,100.0,100,gtx-970-mule,3.40,1
tyson,100000,471.627876997,1e-06,1e-06,20000,100.0,100,gtx-970-mule,3.40,1
earm,10,0.47314786911,1e-06,1e-06,20000,20000.0,100,gtx-970-mule,3.40,1
earm,100,4.85739207268,1e-06,1e-06,20000,20000.0,100,gtx-970-mule,3.40,1
earm,1000,48.5280909538,1e-06,1e-06,20000,20000.0,100,gtx-970-mule,3.40,1
earm,10000,495.061351061,1e-06,1e-06,20000,20000.0,100,gtx-970-mule,3.40,1
ras,10,1.15351891518,1e-06,1e-06,20000,1500.0,100,gtx-970-mule,3.40,1
ras,100,5.21037793159,1e-06,1e-06,20000,1500.0,100,gtx-970-mule,3.40,1
ras,1000,52.4320869446,1e-06,1e-06,20000,1500.0,100,gtx-970-mule,3.40,1
ras,10000,521.712118149,1e-06,1e-06,20000,1500.0,100,gtx-970-mule,3.40,1
ras,100000,5294.90237093,1e-06,1e-06,20000,1500.0,100,gtx-970-mule,3.40,1
