model,nsims,scipytime,rtol,atol,mxsteps,t_end,n_steps,cpu,GHz
tyson,10,0.183912992,0.000001,0.000001,20000,100,100,Intel_Core_i7-4820K,3.7
tyson,100,1.03254199,0.000001,0.000001,20000,100,100,Intel_Core_i7-4820K,3.7
tyson,1000,10.16907501,0.000001,0.000001,20000,100,100,Intel_Core_i7-4820K,3.7
tyson,10000,106.121031,0.000001,0.000001,20000,100,100,Intel_Core_i7-4820K,3.7
tyson,100000,1107.608194,0.000001,0.000001,20000,100,100,Intel_Core_i7-4820K,3.7
ras,10,0.594628096,0.000001,0.000001,20000,1500,100,Intel_Core_i7-4820K,3.7
ras,100,6.169384956,0.000001,0.000001,20000,1500,100,Intel_Core_i7-4820K,3.7
ras,1000,63.69171214,0.000001,0.000001,20000,1500,100,Intel_Core_i7-4820K,3.7
ras,10000,617.3132131,0.000001,0.000001,20000,1500,100,Intel_Core_i7-4820K,3.7
ras,100000,6248.213634,0.000001,0.000001,20000,1500,100,Intel_Core_i7-4820K,3.7
earm,10,0.578971863,0.000001,0.000001,20000,20000,100,Intel_Core_i7-4820K,3.7
earm,100,5.594248056,0.000001,0.000001,20000,20000,100,Intel_Core_i7-4820K,3.7
earm,1000,55.97609711,0.000001,0.000001,20000,20000,100,Intel_Core_i7-4820K,3.7
earm,10000,579.2692349,0.000001,0.000001,20000,20000,100,Intel_Core_i7-4820K,3.7
