model,nsims,tpb,mem,cupsodatime,pythontime,rtol,atol,mxsteps,t_end,n_steps,deterministic,vol,card
ras,2,16,2,7.49137187004,7.50710296631,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-diablo
ras,4,16,2,7.5557551384,7.60014510155,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-diablo
ras,8,16,2,7.74204087257,7.7962269783,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-diablo
ras,16,16,2,8.12861013412,8.19363689423,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-diablo
ras,32,16,2,8.1800839901,8.2732360363,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-diablo
ras,64,16,2,8.25018787384,8.40498280525,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-diablo
ras,128,16,2,8.38912606239,8.65614795685,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-diablo
ras,256,16,2,8.74843502045,9.26319003105,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-diablo
ras,512,16,2,9.61511683464,10.6032099724,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-diablo
ras,1024,16,2,11.2243311405,13.1707000732,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-diablo
ras,2048,16,2,15.2488200665,19.1058440208,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-diablo
ras,4096,16,2,31.7701601982,39.3678569794,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-diablo
ras,8192,16,2,54.8414850235,70.1066558361,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-diablo
ras,16384,16,2,111.08665204,141.469645023,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-diablo
ras,32768,16,2,223.505433083,284.162082911,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-diablo
ras,65536,16,2,437.068445921,558.095486879,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-diablo
ras,131072,16,2,940.909021854,1181.94375396,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-diablo
tyson,2,16,2,0.37779712677,0.383223056793,1e-06,1e-06,100,20000,100.0,1,0,gtx980-diablo
tyson,4,16,2,0.352802991867,0.390809059143,1e-06,1e-06,100,20000,100.0,1,0,gtx980-diablo
tyson,8,16,2,0.352253913879,0.393543958664,1e-06,1e-06,100,20000,100.0,1,0,gtx980-diablo
tyson,16,16,2,0.368509054184,0.415584802628,1e-06,1e-06,100,20000,100.0,1,0,gtx980-diablo
tyson,32,16,2,0.372470855713,0.429605007172,1e-06,1e-06,100,20000,100.0,1,0,gtx980-diablo
tyson,64,16,2,0.379558086395,0.449638128281,1e-06,1e-06,100,20000,100.0,1,0,gtx980-diablo
tyson,128,16,2,0.399920940399,0.50518989563,1e-06,1e-06,100,20000,100.0,1,0,gtx980-diablo
tyson,256,16,2,0.460669994354,0.640679121017,1e-06,1e-06,100,20000,100.0,1,0,gtx980-diablo
tyson,512,16,2,0.530097961426,0.857734918594,1e-06,1e-06,100,20000,100.0,1,0,gtx980-diablo
tyson,1024,16,2,0.715646028519,1.33128619194,1e-06,1e-06,100,20000,100.0,1,0,gtx980-diablo
tyson,2048,16,2,1.05037784576,2.2606139183,1e-06,1e-06,100,20000,100.0,1,0,gtx980-diablo
tyson,4096,16,2,1.95822191238,4.31114602089,1e-06,1e-06,100,20000,100.0,1,0,gtx980-diablo
tyson,8192,16,2,3.84510803223,8.47552394867,1e-06,1e-06,100,20000,100.0,1,0,gtx980-diablo
tyson,16384,16,2,7.53300595284,16.747740984,1e-06,1e-06,100,20000,100.0,1,0,gtx980-diablo
